gt_index,code,year,semester,category,pdf_page,curriculum_page,source_note
0,06016401,1,1,หมวดวิชาเฉพาะ,UNMAPPED,UNMAPPED,GT row not located in checked DSBA source pages
1,06026200,1,1,หมวดวิชาเฉพาะ,30,29,Academic plan Year 1 Semester 1
2,06026202,1,1,หมวดวิชาเฉพาะ,30,29,Academic plan Year 1 Semester 1
3,06066101,1,1,หมวดวิชาเฉพาะ,30,29,Academic plan Year 1 Semester 1
4,06066303,1,1,หมวดวิชาเฉพาะ,30,29,Academic plan Year 1 Semester 1
5,90641001,1,1,หมวดวิชาศึกษาทั่วไป,30,29,Academic plan Year 1 Semester 1
6,90641003,1,1,หมวดวิชาศึกษาทั่วไป,30,29,Academic plan Year 1 Semester 1
7,90644007,1,1,หมวดวิชาศึกษาทั่วไป,30,29,Academic plan Year 1 Semester 1
8,06026201,1,2,หมวดวิชาเฉพาะ,31,30,Academic plan Year 1 Semester 2
9,06026203,1,2,หมวดวิชาเฉพาะ,31,30,Academic plan Year 1 Semester 2
10,06026205,1,2,หมวดวิชาเฉพาะ,31,30,Academic plan Year 1 Semester 2
11,06066001,1,2,หมวดวิชาเฉพาะ,31,30,Academic plan Year 1 Semester 2
12,90641002,1,2,หมวดวิชาศึกษาทั่วไป,31,30,Academic plan Year 1 Semester 2
13,90642033,1,2,หมวดวิชาศึกษาทั่วไป,31,30,Academic plan Year 1 Semester 2
14,90644008,1,2,หมวดวิชาศึกษาทั่วไป,31,30,Academic plan Year 1 Semester 2
15,06026206,2,1,หมวดวิชาเฉพาะ,32,31,Academic plan Year 2 Semester 1
16,06066000,2,1,หมวดวิชาเฉพาะ,32,31,Academic plan Year 2 Semester 1
17,06066300,2,1,หมวดวิชาเฉพาะ,32,31,Academic plan Year 2 Semester 1
18,06066302,2,1,หมวดวิชาเฉพาะ,32,31,Academic plan Year 2 Semester 1
19,06066304,2,1,หมวดวิชาเฉพาะ,32,31,Academic plan Year 2 Semester 1
20,90644xxx,2,1,หมวดวิชาศึกษาทั่วไป,32,31,Academic plan Year 2 Semester 1
21,06026204,2,2,หมวดวิชาเฉพาะ,33,32,Academic plan Year 2 Semester 2
22,06026207,2,2,หมวดวิชาเฉพาะ,33,32,Academic plan Year 2 Semester 2
23,06026208,2,2,หมวดวิชาเฉพาะ,33,32,Academic plan Year 2 Semester 2
24,06026209,2,2,หมวดวิชาเฉพาะ,33,32,Academic plan Year 2 Semester 2
25,06026210,2,2,หมวดวิชาเฉพาะ,33,32,Academic plan Year 2 Semester 2
26,06066102,2,2,หมวดวิชาเฉพาะ,33,32,Academic plan Year 2 Semester 2
27,06066301,2,2,หมวดวิชาเฉพาะ,33,32,Academic plan Year 2 Semester 2
28,06026211,3,1,หมวดวิชาเฉพาะ,34,33,Academic plan Year 3 Semester 1
29,06026212,3,1,หมวดวิชาเฉพาะ,34,33,Academic plan Year 3 Semester 1
30,06026xxx,3,1,หมวดวิชาเฉพาะ,34,33,Academic plan Year 3 Semester 1
31,06026xxx,3,1,หมวดวิชาเฉพาะ,34,33,Academic plan Year 3 Semester 1
32,9064xxxx,3,1,หมวดวิชาเฉพาะ,34,33,Academic plan Year 3 Semester 1
33,90644042,3,1,หมวดวิชาศึกษาทั่วไป,34,33,Academic plan Year 3 Semester 1
34,06026213,3,2,หมวดวิชาเฉพาะ,35,34,Academic plan Year 3 Semester 2
35,06026214,3,2,หมวดวิชาเฉพาะ,35,34,Academic plan Year 3 Semester 2
36,06026xxx,3,2,หมวดวิชาเฉพาะ,35,34,Academic plan Year 3 Semester 2
37,06026xxx,3,2,หมวดวิชาเฉพาะ,35,34,Academic plan Year 3 Semester 2
38,06066100,3,2,หมวดวิชาเฉพาะ,35,34,Academic plan Year 3 Semester 2
39,90643021,3,2,หมวดวิชาศึกษาทั่วไป,35,34,Academic plan Year 3 Semester 2
40,06026215,4,1,หมวดวิชาเฉพาะ,36,35,Academic plan Year 4 Semester 1
41,9064xxxx,4,1,หมวดวิชาศึกษาทั่วไป,36,35,Academic plan Year 4 Semester 1
