gt_index,code,year,semester,pdf_page,curriculum_page,source_section,mapping_method,mapping_score,evidence
0,06046400,1,1,23,19,academic_plan,source_match,116.84,"06046400,name_en:similarity=0.42"
1,06046402,1,1,23,19,academic_plan,source_match,180.0,"06046402,name_en:exact"
2,06066000,1,1,23,19,academic_plan,source_match,180.0,"06066000,name_en:exact"
3,06066001,1,1,23,19,academic_plan,source_match,180.0,"06066001,name_en:exact"
4,06066303,1,1,23,19,academic_plan,source_match,180.0,"06066303,name_th:exact"
5,90641008,1,1,23,19,academic_plan,source_match,180.0,"90641008,name_th:exact"
6,06046401,1,2,23,19,academic_plan,source_match,180.0,"06046401,name_th:exact"
7,06046403,1,2,23,19,academic_plan,source_match,180.0,"06046403,name_en:exact"
8,06066301,1,2,23,19,academic_plan,source_match,180.0,"06066301,name_en:exact"
9,06046404,1,2,23,19,academic_plan,source_match,180.0,"06046404,name_en:exact"
10,90641007,1,2,23,19,academic_plan,source_match,180.0,"90641007,name_th:exact"
11,90641004,1,2,23,19,academic_plan,source_match,180.0,"90641004,name_en:exact"
12,9064xxxx,1,2,23,19,academic_plan,source_match,180.0,"9064xxxx,name_en:exact"
13,06066300,2,1,24,20,academic_plan,source_match,180.0,"06066300,name_th:exact"
14,06046405,2,1,24,20,academic_plan,source_match,180.0,"06046405,name_en:exact"
15,06046406,2,1,24,20,academic_plan,source_match,180.0,"06046406,name_en:exact"
16,06046409,2,1,24,20,academic_plan,source_match,180.0,"06046409,name_en:exact"
17,06046413,2,1,24,20,academic_plan,source_match,180.0,"06046413,name_th:exact"
18,90641009,2,1,24,20,academic_plan,source_match,180.0,"90641009,name_th:exact"
19,06046407,2,2,24,20,academic_plan,source_match,127.43,"06046407,name_en:similarity=0.69"
20,06046408,2,2,24,20,academic_plan,source_match,180.0,"06046408,name_en:exact"
21,06046410,2,2,24,20,academic_plan,source_match,180.0,"06046410,name_en:exact"
22,06046412,2,2,24,20,academic_plan,source_match,180.0,"06046412,name_en:exact"
23,06046411,2,2,24,20,academic_plan,source_match,132.0,"06046411,name_th:similarity=0.80"
24,90641010,2,2,24,20,academic_plan,source_match,180.0,"90641010,name_th:exact"
25,90641005,2,2,24,20,academic_plan,source_match,180.0,"90641005,name_en:exact"
26,06046415,3,1,25,21,academic_plan,source_match,180.0,"06046415,name_en:exact"
27,06046414,3,1,25,21,academic_plan,source_match,180.0,"06046414,name_th:exact"
28,90642012,3,1,25,21,academic_plan,source_match,180.0,"90642012,name_en:exact"
29,060464xx,3,1,25,21,academic_plan,source_match,180.0,"060464xx,name_en:exact"
30,06046440,3,1,25,21,academic_plan,source_match,180.0,"06046440,name_en:exact"
31,060464xx,3,2,25,21,academic_plan,source_match,180.0,"060464xx,name_en:exact"
32,06046441,3,2,25,21,academic_plan,source_match,180.0,"06046441,name_th:exact"
33,90641006,3,2,25,21,academic_plan,source_match,180.0,"90641006,name_en:exact"
34,xxxxxxxx,3,2,25,21,academic_plan,source_match,180.0,"xxxxxxxx,name_en:exact"
35,06046442,4,1,26,22,academic_plan,source_match,180.0,"06046442,name_th:exact"
36,9064xxxx,4,1,23,19,academic_plan,source_match,180.0,"9064xxxx,name_en:exact"
37,90644xxx,4,1,26,22,academic_plan,source_match,180.0,"90644xxx,name_en:exact"
38,xxxxxxxx,4,1,26,22,academic_plan,source_match,180.0,"xxxxxxxx,name_en:exact"
39,06046443|06046444,4,2,26,22,academic_plan,source_match,322.36,"06046443,06046444,name_en:similarity=0.56"
40,06046416,0,0,21,17,catalog,source_match,180.0,"06046416,name_en:exact"
41,06046417,0,0,21,17,catalog,source_match,180.0,"06046417,name_en:exact"
42,06046418,0,0,21,17,catalog,source_match,180.0,"06046418,name_en:exact"
43,06046419,0,0,21,17,catalog,source_match,180.0,"06046419,name_en:exact"
44,06046420,0,0,21,17,catalog,source_match,180.0,"06046420,name_en:exact"
45,06046421,0,0,21,17,catalog,source_match,180.0,"06046421,name_en:exact"
46,06046422,0,0,21,17,catalog,source_match,180.0,"06046422,name_th:exact"
47,06046423,0,0,21,17,catalog,source_match,180.0,"06046423,name_th:exact"
48,06046424,0,0,21,17,catalog,source_match,180.0,"06046424,name_en:exact"
49,06046425,0,0,21,17,catalog,source_match,180.0,"06046425,name_en:exact"
50,06046430,0,0,21,17,catalog,source_match,180.0,"06046430,name_th:exact"
51,06046431,0,0,21,17,catalog,source_match,180.0,"06046431,name_en:exact"
52,06046432,0,0,21,17,catalog,source_match,180.0,"06046432,name_en:exact"
53,06046433,0,0,21,17,catalog,source_match,180.0,"06046433,name_en:exact"
54,06046434,0,0,21,17,catalog,source_match,180.0,"06046434,name_en:exact"
55,06046435,0,0,21,17,catalog,source_match,180.0,"06046435,name_en:exact"
