gt_index,code,year,semester,pdf_page,curriculum_page,source_section,mapping_method,mapping_score,evidence
0,06016401,1,1,38,33,academic_plan,source_match,180.0,"06016401,name_en:exact"
1,06016402,1,1,38,33,academic_plan,source_match,180.0,"06016402,name_en:exact"
2,06016411,1,1,38,33,academic_plan,source_match,180.0,"06016411,name_en:exact"
3,06066303,1,1,38,33,academic_plan,source_match,180.0,"06066303,name_en:exact"
4,90641001,1,1,38,33,academic_plan,source_match,180.0,"90641001,name_en:exact"
5,90641003,1,1,38,33,academic_plan,source_match,180.0,"90641003,name_en:exact"
6,90644007,1,1,38,33,academic_plan,source_match,180.0,"90644007,name_en:exact"
7,06016408,1,2,39,34,academic_plan,source_match,180.0,"06016408,name_en:exact"
8,06066001,1,2,39,34,academic_plan,source_match,180.0,"06066001,name_en:exact"
9,06066101,1,2,39,34,academic_plan,source_match,180.0,"06066101,name_en:exact"
10,06066301,1,2,39,34,academic_plan,source_match,180.0,"06066301,name_en:exact"
11,90641002,1,2,39,34,academic_plan,source_match,180.0,"90641002,name_en:exact"
12,90644008,1,2,39,34,academic_plan,source_match,180.0,"90644008,name_en:exact"
13,06016403,2,1,40,35,academic_plan,source_match,180.0,"06016403,name_en:exact"
14,06016409,2,1,40,35,academic_plan,source_match,180.0,"06016409,name_en:exact"
15,06016413,2,1,40,35,academic_plan,source_match,128.42,"06016413,name_en:similarity=0.71"
16,06066000,2,1,40,35,academic_plan,source_match,180.0,"06066000,name_en:exact"
17,06066300,2,1,40,35,academic_plan,source_match,180.0,"06066300,name_en:exact"
18,06066304,2,1,40,35,academic_plan,source_match,180.0,"06066304,name_th:exact"
19,06016405,2,2,41,36,academic_plan,source_match,180.0,"06016405,name_en:exact"
20,06016410,2,2,41,36,academic_plan,source_match,180.0,"06016410,name_en:exact"
21,06016412,2,2,41,36,academic_plan,source_match,180.0,"06016412,name_en:exact"
22,06066302,2,2,41,36,academic_plan,source_match,180.0,"06066302,name_en:exact"
23,06016414,2,2,41,36,academic_plan,source_match,180.0,"06016414,name_en:exact"
24,06016415,2,2,41,36,academic_plan,source_match,180.0,"06016415,name_en:exact"
25,06016419,2,2,41,36,academic_plan,source_match,180.0,"06016419,name_en:exact"
26,06016420,2,2,41,36,academic_plan,source_match,180.0,"06016420,name_en:exact"
27,06016424,2,2,41,36,academic_plan,source_match,180.0,"06016424,name_en:exact"
28,06016425,2,2,41,36,academic_plan,source_match,180.0,"06016425,name_en:exact"
29,06016404,3,1,42,37,academic_plan,source_match,180.0,"06016404,name_en:exact"
30,06066102,3,1,42,37,academic_plan,source_match,180.0,"06066102,name_en:exact"
31,90644xxx,3,1,42,37,academic_plan,source_match,180.0,"90644xxx,name_en:exact"
32,06016416,3,1,42,37,academic_plan,source_match,180.0,"06016416,name_en:exact"
33,06016417,3,1,42,37,academic_plan,source_match,180.0,"06016417,name_en:exact"
34,06016418,3,1,42,37,academic_plan,source_match,180.0,"06016418,name_en:exact"
35,06016421,3,1,42,37,academic_plan,source_match,180.0,"06016421,name_en:exact"
36,06016422,3,1,42,37,academic_plan,source_match,180.0,"06016422,name_en:exact"
37,06016423,3,1,42,37,academic_plan,source_match,180.0,"06016423,name_en:exact"
38,06016426,3,1,42,37,academic_plan,source_match,180.0,"06016426,name_en:exact"
39,06016427,3,1,42,37,academic_plan,source_match,180.0,"06016427,name_en:exact"
40,06016418,3,1,42,37,academic_plan,source_match,180.0,"06016418,name_en:exact"
41,06016481|06016482,3,2,43,38,academic_plan,source_match,124.41,"06016482,name_en:similarity=0.61"
42,06016406,4,1,43,38,academic_plan,source_match,180.0,"06016406,name_en:exact"
43,060164xx,4,1,43,38,academic_plan,source_match,180.0,"060164xx,name_en:exact"
44,90643021,4,1,43,38,academic_plan,source_match,180.0,"90643021,name_en:exact"
45,9064xxxx,4,1,43,38,academic_plan,source_match,180.0,"9064xxxx,name_en:exact"
46,xxxxxxxx,4,1,43,38,academic_plan,source_match,80.0,name_en:exact
47,xxxxxxxx,4,1,43,38,academic_plan,source_match,80.0,name_en:exact
48,06016407,4,2,44,39,academic_plan,source_match,180.0,"06016407,name_en:exact"
49,06066100,4,2,44,39,academic_plan,source_match,180.0,"06066100,name_en:exact"
50,90642033,4,2,44,39,academic_plan,source_match,180.0,"90642033,name_en:exact"
51,90644042,4,2,44,39,academic_plan,source_match,180.0,"90644042,name_en:exact"
52,9064xxxx,4,2,44,39,academic_plan,source_match,180.0,"9064xxxx,name_th:exact"
53,06016428,0,0,26,21,catalog,source_match,180.0,"06016428,name_en:exact"
54,06016429,0,0,26,21,catalog,source_match,180.0,"06016429,name_en:exact"
55,06016430,0,0,26,21,catalog,source_match,180.0,"06016430,name_en:exact"
56,06016431,0,0,26,21,catalog,source_match,180.0,"06016431,name_en:exact"
57,06016432,0,0,26,21,catalog,source_match,180.0,"06016432,name_en:exact"
58,06016433,0,0,26,21,catalog,source_match,180.0,"06016433,name_en:exact"
59,06016434,0,0,26,21,catalog,source_match,180.0,"06016434,name_en:exact"
60,06016435,0,0,26,21,catalog,source_match,180.0,"06016435,name_en:exact"
61,06016436,0,0,26,21,catalog,source_match,180.0,"06016436,name_en:exact"
62,06016437,0,0,26,21,catalog,source_match,180.0,"06016437,name_en:exact"
63,06016438,0,0,26,21,catalog,source_match,180.0,"06016438,name_en:exact"
64,06016439,0,0,26,21,catalog,source_match,180.0,"06016439,name_en:exact"
65,06016440,0,0,26,21,catalog,source_match,180.0,"06016440,name_en:exact"
66,06016441,0,0,27,22,catalog,source_match,180.0,"06016441,name_en:exact"
67,06016442,0,0,27,22,catalog,source_match,180.0,"06016442,name_en:exact"
68,06016443,0,0,27,22,catalog,source_match,180.0,"06016443,name_en:exact"
69,06016444,0,0,27,22,catalog,source_match,180.0,"06016444,name_en:exact"
70,06016445,0,0,27,22,catalog,source_match,180.0,"06016445,name_en:exact"
71,06016446,0,0,27,22,catalog,source_match,180.0,"06016446,name_en:exact"
72,06016447,0,0,27,22,catalog,source_match,180.0,"06016447,name_en:exact"
73,06016448,0,0,27,22,catalog,source_match,180.0,"06016448,name_en:exact"
74,06016449,0,0,27,22,catalog,source_match,180.0,"06016449,name_en:exact"
75,06016450,0,0,27,22,catalog,source_match,180.0,"06016450,name_en:exact"
76,06016451,0,0,27,22,catalog,source_match,180.0,"06016451,name_en:exact"
77,06016452,0,0,27,22,catalog,source_match,180.0,"06016452,name_en:exact"
78,06016453,0,0,27,22,catalog,source_match,180.0,"06016453,name_en:exact"
79,06016454,0,0,27,22,catalog,source_match,180.0,"06016454,name_en:exact"
80,06016455,0,0,27,22,catalog,source_match,180.0,"06016455,name_en:exact"
81,06016456,0,0,27,22,catalog,source_match,180.0,"06016456,name_en:exact"
82,06016457,0,0,27,22,catalog,source_match,180.0,"06016457,name_en:exact"
83,06016458,0,0,27,22,catalog,source_match,180.0,"06016458,name_en:exact"
84,06016459,0,0,27,22,catalog,source_match,180.0,"06016459,name_th:exact"
85,06016460,0,0,28,23,catalog,source_match,180.0,"06016460,name_en:exact"
86,06016461,0,0,28,23,catalog,source_match,180.0,"06016461,name_en:exact"
87,06016462,0,0,28,23,catalog,source_match,180.0,"06016462,name_en:exact"
88,06016463,0,0,28,23,catalog,source_match,180.0,"06016463,name_en:exact"
89,06016464,0,0,28,23,catalog,source_match,180.0,"06016464,name_en:exact"
90,06016465,0,0,28,23,catalog,source_match,180.0,"06016465,name_en:exact"
