gt_index,code,year,semester,pdf_page,curriculum_page,source_section,mapping_method,mapping_score,evidence
0,06036100,1,1,31,26,academic_plan,source_match,180.0,"06036100,name_en:exact"
1,06036101,1,1,31,26,academic_plan,source_match,180.0,"06036101,name_en:exact"
2,06036118,1,1,31,26,academic_plan,source_match,180.0,"06036118,name_en:exact"
3,96641001,1,1,31,26,academic_plan,source_match,180.0,"96641001,name_en:exact"
4,96641003,1,1,31,26,academic_plan,source_match,180.0,"96641003,name_en:exact"
5,96644007,1,1,31,26,academic_plan,source_match,180.0,"96644007,name_en:exact"
6,96644042,1,1,31,26,academic_plan,source_match,180.0,"96644042,name_en:exact"
7,06036102,1,2,32,27,academic_plan,source_match,180.0,"06036102,name_en:exact"
8,06036109,1,2,32,27,academic_plan,source_match,180.0,"06036109,name_en:exact"
9,06036119,1,2,32,27,academic_plan,source_match,180.0,"06036119,name_en:exact"
10,06036125,1,2,32,27,academic_plan,source_match,180.0,"06036125,name_en:exact"
11,96641002,1,2,32,27,academic_plan,source_match,180.0,"96641002,name_en:exact"
12,96644008,1,2,32,27,academic_plan,source_match,180.0,"96644008,name_en:exact"
13,06036103,2,1,32,27,academic_plan,source_match,180.0,"06036103,name_th:exact"
14,06036104,2,1,32,27,academic_plan,source_match,180.0,"06036104,name_en:exact"
15,06036105,2,1,32,27,academic_plan,source_match,180.0,"06036105,name_en:exact"
16,06036117,2,1,32,27,academic_plan,source_match,180.0,"06036117,name_en:exact"
17,06036120,2,1,32,27,academic_plan,source_match,180.0,"06036120,name_en:exact"
18,06036122,2,1,32,27,academic_plan,source_match,180.0,"06036122,name_en:exact"
19,06036108,2,2,33,28,academic_plan,source_match,180.0,"06036108,name_en:exact"
20,06036111,2,2,33,28,academic_plan,source_match,180.0,"06036111,name_en:exact"
21,06036112,2,2,33,28,academic_plan,source_match,180.0,"06036112,name_en:exact"
22,06036113,2,2,33,28,academic_plan,source_match,180.0,"06036113,name_en:exact"
23,06036124,2,2,33,28,academic_plan,source_match,132.9,"06036124,name_th:similarity=0.82"
24,9664xxxx,2,2,33,28,academic_plan,source_match,180.0,"9664xxxx,name_en:exact"
25,06036107,3,1,33,28,academic_plan,source_match,180.0,"06036107,name_en:exact"
26,06036110,3,1,33,28,academic_plan,source_match,180.0,"06036110,name_en:exact"
27,06036114,3,1,33,28,academic_plan,source_match,180.0,"06036114,name_en:exact"
28,06036121,3,1,33,28,academic_plan,source_match,180.0,"06036121,name_th:exact"
29,06036123,3,1,33,28,academic_plan,source_match,180.0,"06036123,name_en:exact"
30,96644xxx,3,1,33,28,academic_plan,source_match,180.0,"96644xxx,name_en:exact"
31,06036106,3,2,34,29,academic_plan,source_match,180.0,"06036106,name_th:exact"
32,06036116,3,2,34,29,academic_plan,source_match,180.0,"06036116,name_en:exact"
33,96643021,3,2,34,29,academic_plan,source_match,180.0,"96643021,name_en:exact"
34,06036xxx,3,2,34,29,academic_plan,source_match,134.37,"06036xxx,name_en:similarity=0.86"
35,xxxxxxxx,3,2,34,29,academic_plan,source_match,80.0,name_en:exact
36,06036115,4,1,35,30,academic_plan,source_match,180.0,"06036115,name_en:exact"
37,96642033,4,1,35,30,academic_plan,source_match,180.0,"96642033,name_en:exact"
38,06036xxx,4,1,35,30,academic_plan,source_match,134.03,"06036xxx,name_th:similarity=0.85"
39,xxxxxxxx,4,1,35,30,academic_plan,source_match,80.0,name_en:exact
40,9664xxxx,4,1,35,30,academic_plan,source_match,180.0,"9664xxxx,name_en:exact"
41,06036147|06036148,4,2,35,30,academic_plan,source_match,327.8,"06036147,06036148,name_en:similarity=0.69"
42,06036126,0,0,23,18,catalog,source_match,180.0,"06036126,name_en:exact"
43,06036127,0,0,23,18,catalog,source_match,180.0,"06036127,name_en:exact"
44,06036128,0,0,23,18,catalog,source_match,180.0,"06036128,name_en:exact"
45,06036129,0,0,23,18,catalog,source_match,180.0,"06036129,name_en:exact"
46,06036130,0,0,24,19,catalog,source_match,180.0,"06036130,name_en:exact"
47,06036131,0,0,24,19,catalog,source_match,180.0,"06036131,name_en:exact"
48,06036132,0,0,24,19,catalog,source_match,180.0,"06036132,name_en:exact"
49,06036133,0,0,24,19,catalog,source_match,180.0,"06036133,name_en:exact"
50,06036134,0,0,24,19,catalog,source_match,180.0,"06036134,name_en:exact"
51,06036135,0,0,24,19,catalog,source_match,180.0,"06036135,name_en:exact"
52,06036136,0,0,24,19,catalog,source_match,180.0,"06036136,name_en:exact"
53,06036137,0,0,24,19,catalog,source_match,180.0,"06036137,name_en:exact"
54,06036138,0,0,24,19,catalog,source_match,180.0,"06036138,name_en:exact"
55,06036139,0,0,24,19,catalog,source_match,180.0,"06036139,name_en:exact"
56,06036140,0,0,24,19,catalog,source_match,180.0,"06036140,name_en:exact"
57,06036141,0,0,25,20,catalog,source_match,180.0,"06036141,name_en:exact"
58,06036142,0,0,25,20,catalog,source_match,180.0,"06036142,name_en:exact"
59,06036143,0,0,25,20,catalog,source_match,180.0,"06036143,name_en:exact"
60,06036144,0,0,25,20,catalog,source_match,180.0,"06036144,name_en:exact"
61,06036145,0,0,22,17,catalog,source_match,180.0,"06036145,name_en:exact"
62,06036146,0,0,23,18,catalog,source_match,180.0,"06036146,name_en:exact"
